SampleID,KIT,For_AVE,VOL,STORAGE,MATRIX,PMA,SampleOrCtrl,LYSING,Chemical_time,Bead_beat_speed_time,vortex_time,Description
10TB.1,Total,Total_Bead_beating_6.5_2min,10mL,NA,MILK,N,Sample,Bead_beating,NA,6.5_2min,NA,BCMC2
10TB.2,Total,Total_Bead_beating_6.5_2min,10mL,NA,MILK,N,Sample,Bead_beating,NA,6.5_2min,NA,BCMC2
10TB.3,Total,Total_Bead_beating_6.5_2min,10mL,NA,MILK,N,Sample,Bead_beating,NA,6.5_2min,NA,BCMC2
10TV.1,Total,Total_Vortex_NA,10mL,NA,MILK,N,Sample,Vortex,NA,NA,15min,BCMC2
10TV.2,Total,Total_Vortex_NA,10mL,NA,MILK,N,Sample,Vortex,NA,NA,15min,BCMC2
10TV.3,Total,Total_Vortex_NA,10mL,NA,MILK,N,Sample,Vortex,NA,NA,15min,BCMC2
10TC.1,Total,Total_Chemical_NA,10mL,NA,MILK,N,Sample,Chemical,20min,NA,,BCMC2
10TC.2,Total,Total_Chemical_NA,10mL,NA,MILK,N,Sample,Chemical,20min,NA,,BCMC2
10TC.3,Total,Total_Chemical_NA,10mL,NA,MILK,N,Sample,Chemical,20min,NA,,BCMC2
10CB.1,Core,Core_Bead_beating_6.5_2min,10mL,NA,MILK,N,Sample,Bead_beating,,6.5_2min,,BCMC2
10CB.2,Core,Core_Bead_beating_6.5_2min,10mL,NA,MILK,N,Sample,Bead_beating,,6.5_2min,,BCMC2
10CB.3,Total,Core_Bead_beating_6.5_2min,10mL,NA,MILK,N,Sample,Bead_beating,,6.5_2min,,BCMC2
10CV.1,Core,Core_Vortex_,10mL,NA,MILK,N,Sample,Vortex,,,15min,BCMC2
10CV.2,Core,Core_Vortex_,10mL,NA,MILK,N,Sample,Vortex,,,15min,BCMC2
10CV.3,Core,Core_Vortex_,10mL,NA,MILK,N,Sample,Vortex,,,15min,BCMC2
10CC.1,Core,Core_Chemical_,10mL,NA,MILK,N,Sample,Chemical,20min,,,BCMC2
10CC.2,Core,Core_Chemical_,10mL,NA,MILK,N,Sample,Chemical,20min,,,BCMC2
10CC.3,Core,Core_Chemical_,10mL,NA,MILK,N,Sample,Chemical,20min,,,BCMC2
10UB.1,Ultra2,Ultra2_Bead_beating_6.5_2min,10mL,NA,MILK,N,Sample,Bead_beating,,6.5_2min,,BCMC2
10UB.2,Ultra2,Ultra2_Bead_beating_6.5_2min,10mL,NA,MILK,N,Sample,Bead_beating,,6.5_2min,,BCMC2
10UB.3,Ultra2,Ultra2_Bead_beating_6.5_2min,10mL,NA,MILK,N,Sample,Bead_beating,,6.5_2min,,BCMC2
10UV.1,Ultra2,Ultra2_Vortex_,10mL,NA,MILK,N,Sample,Vortex,,,15min,BCMC2
10UV.2,Ultra2,Ultra2_Vortex_,10mL,NA,MILK,N,Sample,Vortex,,,15min,BCMC2
10UV.3,Ultra2,Ultra2_Vortex_,10mL,NA,MILK,N,Sample,Vortex,,,15min,BCMC2
10UC.1,Ultra2,Ultra2_Chemical_,10mL,NA,MILK,N,Sample,Chemical,20min,,,BCMC2
10UC.2,Ultra2,Ultra2_Chemical_,10mL,NA,MILK,N,Sample,Chemical,20min,,,BCMC2
10UC.3,Ultra2,Ultra2_Chemical_,10mL,NA,MILK,N,Sample,Chemical,20min,,,BCMC2
Theo2.1,Expected,Expected,NA,NA,NA,N,Sample,Theoretical_value,NA,NA,NA,BCMC2
Theo2.2,Expected,Expected,NA,NA,NA,N,Sample,Theoretical_value,NA,NA,NA,BCMC2
Theo2.3,Expected,Expected,NA,NA,NA,N,Sample,Theoretical_value,NA,NA,NA,BCMC2