Treatment,PerOf_untreated,Taxon
Dead,0.164118256,Bacillaceae
Dead,0.082297975,Bacillaceae
Dead,0.021576801,Bacillaceae
Half,0.108844175,Bacillaceae
Half,0.084646587,Bacillaceae
Half,0.018013245,Bacillaceae
Live,0.05282187,Bacillaceae
Live,0.060063092,Bacillaceae
Live,0.087462602,Bacillaceae
Untreated,,Bacillaceae
Untreated,,Bacillaceae
Untreated,,Bacillaceae
Dead,0.274077308,Clostridium
Dead,0.12352846,Clostridium
Dead,0.216182007,Clostridium
Half,0.148891213,Clostridium
Half,0.084743705,Clostridium
Half,0.087899848,Clostridium
Live,0.216459512,Clostridium
Live,0.199797745,Clostridium
Live,0.049007922,Clostridium
Untreated,,Clostridium
Untreated,,Clostridium
Untreated,,Clostridium
Dead,2.50186086,Corynebacterium
Dead,2.083006754,Corynebacterium
Dead,1.546451224,Corynebacterium
Half,1.694509981,Corynebacterium
Half,3.61469002,Corynebacterium
Half,3.039240392,Corynebacterium
Live,1.092830515,Corynebacterium
Live,1.765203629,Corynebacterium
Live,1.475161095,Corynebacterium
Untreated,,Corynebacterium
Untreated,,Corynebacterium
Untreated,,Corynebacterium
Dead,0.511896879,Enterobacteriaceae
Dead,0.74410146,Enterobacteriaceae
Dead,0.181018592,Enterobacteriaceae
Half,4.087698616,Enterobacteriaceae
Half,1.642144686,Enterobacteriaceae
Half,3.181844281,Enterobacteriaceae
Live,2.181294262,Enterobacteriaceae
Live,2.097446415,Enterobacteriaceae
Live,2.121752781,Enterobacteriaceae
Untreated,,Enterobacteriaceae
Untreated,,Enterobacteriaceae
Untreated,,Enterobacteriaceae
Dead,0.153231212,Enterococcus
Dead,0.032828406,Enterococcus
Dead,0.052771209,Enterococcus
Half,1.009141862,Enterococcus
Half,0.329438605,Enterococcus
Half,0.385145475,Enterococcus
Live,0.378717145,Enterococcus
Live,0.40594732,Enterococcus
Live,0.484809118,Enterococcus
Untreated,,Enterococcus
Untreated,,Enterococcus
Untreated,,Enterococcus
Dead,0.189580272,Lactococcus
Dead,0.117152316,Lactococcus
Dead,0.121460662,Lactococcus
Half,0.708943328,Lactococcus
Half,0.484978284,Lactococcus
Half,0.981953902,Lactococcus
Live,0.658196668,Lactococcus
Live,1.14659863,Lactococcus
Live,1.428029177,Lactococcus
Untreated,,Lactococcus
Untreated,,Lactococcus
Untreated,,Lactococcus
Dead,0.3969165,Pseudomonas
Dead,0.259298023,Pseudomonas
Dead,1.216188104,Pseudomonas
Half,0.68871904,Pseudomonas
Half,1.083647953,Pseudomonas
Half,0.526257152,Pseudomonas
Live,0.706623778,Pseudomonas
Live,0.578286926,Pseudomonas
Live,0.66202255,Pseudomonas
Untreated,,Pseudomonas
Untreated,,Pseudomonas
Untreated,,Pseudomonas
Dead,0.53894834,Staphylococcus
Dead,0.511328879,Staphylococcus
Dead,0.180735281,Staphylococcus
Half,0.375964516,Staphylococcus
Half,0.345191925,Staphylococcus
Half,0.131723067,Staphylococcus
Live,0.413421875,Staphylococcus
Live,0.286382132,Staphylococcus
Live,0.249533328,Staphylococcus
Untreated,,Staphylococcus
Untreated,,Staphylococcus
Untreated,,Staphylococcus
Dead,0.241614466,Streptococcus
Dead,0.124555035,Streptococcus
Dead,0.032364973,Streptococcus
Half,0.449032565,Streptococcus
Half,0.202997457,Streptococcus
Half,0.099862711,Streptococcus
Live,0.478179771,Streptococcus
Live,0.366780342,Streptococcus
Live,0.164260219,Streptococcus
Untreated,,Streptococcus
Untreated,,Streptococcus
Untreated,,Streptococcus