For_AVE,Factor,order_factor,,
Freeze_Thaw,Storage,1,,
Fresh,Storage,2,,
Glycerol,Storage,3,,
Milk,Storage,4,,
PBS1,Storage,5,,
PBS2,Storage,6,,
30ml,Volume,7,,
10ml,Volume,8,,
1ml,Volume,9,,
200uL,Volume,10,,
Bead_beating_6.5_2min,Extraction,11,,
Bead_beating_6.5_1min,Extraction,12,,
Bead_beating_3.5_2min,Extraction,13,,
Bead_beating_3.5_1min,Extraction,14,,
Vortex_15min,Extraction,15,,
Vortex_10min,Extraction,16,,
Chemical_20min,Extraction,17,,
Total_Bead_beating_6.5_2min,Extraction,18,,B5
Total_Vortex_,Extraction,19,,C2 + B5
Total_Chemical_NA,Extraction,20,,C2 + V3
Core_Bead_beating_6.5_2min,Extraction,21,,V3
Core_Chemical_,Extraction,22,,
Core_Vortex_,Extraction,23,,
Ultra2_Bead_beating_6.5_2min,Extraction,24,,
Ultra2_Chemical_,Extraction,25,,
Ultra2_Vortex_,Extraction,26,,
Total_Bead_beating_,Extraction,27,B5,
Total_Bead_beating_Rnase_ammonium_acetate,Extraction,28,B5,
Total_Chemical_Bead_beating_,Extraction,29,C2 + B5,
Total_Chemical_Bead_beating_Rnase_ammonium_acetate,Extraction,30,C2 + B5,
Total_Chemical_Vortex_,Extraction,31,C2 + V3,
Total_Chemical_Vortex_Rnase_ammonium_acetate,Extraction,32,C2 + V3,
Total_Vortex_NA,Extraction,33,V3,
Total_Vortex_Rnase_ammonium_acetate,Extraction,34,V3,
Microbiome_Bead_beating_,Extraction,35,B5,
Microbiome_Bead_beating_Rnase_ammonium_acetate,Extraction,36,B5,
Microbiome_Chemical_Bead_beating_,Extraction,37,C2 + B5,
Microbiome_Chemical_Bead_beating_Rnase_ammonium_acetate,Extraction,38,C2 + B5,
Microbiome_Chemical_Vortex_,Extraction,39,C2 + V3,
Microbiome_Chemical_Vortex_Rnase_ammonium_acetate,Extraction,40,C2 + V3,
Microbiome_Vortex_,Extraction,41,V3,
Microbiome_Vortex_Rnase_ammonium_acetate,Extraction,42,V3,
Untreated,PMA,43,,
Live,PMA,44,,
Half,PMA,45,,
Dead,PMA,46,,