bray,Theo2.1,Theo2.2,Theo2.3,ave,Kit,Description,Lysis
10CB.1,0.402005013,0.408521303,0.415288221,0.408604845,Core,Core_Bead_beating_6.5_2min,Bead beat: 2min x 6.5m/s
10CB.2,0.418546366,0.425062657,0.431829574,0.425146199,Core,Core_Bead_beating_6.5_2min,Bead beat: 2min x 6.5m/s
10CB.3,0.387719298,0.394235589,0.401002506,0.394319131,Total,Core_Bead_beating_6.5_2min,Bead beat: 2min x 6.5m/s
10CC.1,0.460902256,0.456390977,0.449874687,0.45572264,Core,Core_Chemical_,Chemical: 1hr
10CC.2,0.453634085,0.449122807,0.442606516,0.44845447,Core,Core_Chemical_,Chemical: 1hr
10CC.3,0.430827068,0.419047619,0.421804511,0.423893066,Core,Core_Chemical_,Chemical: 1hr
10CV.1,0.436842105,0.443358396,0.450125313,0.443441938,Core,Core_Vortex_,Vortex: 15min
10CV.2,0.411779449,0.418295739,0.425062657,0.418379282,Core,Core_Vortex_,Vortex: 15min
10CV.3,0.375689223,0.382205514,0.388972431,0.382289056,Core,Core_Vortex_,Vortex: 15min
10TB.1,0.362155388,0.368671679,0.375438596,0.368755221,Total,Total_Bead_beating_6.5_2min,Bead beat: 2min x 6.5m/s
10TB.2,0.336340852,0.34160401,0.350626566,0.342857143,Total,Total_Bead_beating_6.5_2min,Bead beat: 2min x 6.5m/s
10TB.3,0.335338346,0.341854637,0.348621554,0.341938179,Total,Total_Bead_beating_6.5_2min,Bead beat: 2min x 6.5m/s
10TC.1,0.343107769,0.347619048,0.345864662,0.345530493,Total,Total_Chemical_NA,Chemical: 1hr
10TC.2,0.338847118,0.343358396,0.34160401,0.341269841,Total,Total_Chemical_NA,Chemical: 1hr
10TC.3,0.367669173,0.372180451,0.370426065,0.370091896,Total,Total_Chemical_NA,Chemical: 1hr
10TV.1,0.370676692,0.377192982,0.3839599,0.377276525,Total,Total_Vortex_NA,Vortex: 15min
10TV.2,0.34887218,0.355388471,0.362155388,0.355472013,Total,Total_Vortex_NA,Vortex: 15min
10TV.3,0.318045113,0.324561404,0.331328321,0.324644946,Total,Total_Vortex_NA,Vortex: 15min
10UB.2,0.52481203,0.538596491,0.536090226,0.533166249,Ultra2,Ultra2_Bead_beating_6.5_2min,Bead beat: 2min x 6.5m/s
10UB.3,0.544110276,0.557894737,0.555388471,0.552464495,Ultra2,Ultra2_Bead_beating_6.5_2min,Bead beat: 2min x 6.5m/s
10UC.1,0.389223058,0.381453634,0.389223058,0.38663325,Ultra2,Ultra2_Chemical_,Chemical: 1hr
10UC.2,0.425062657,0.417794486,0.427067669,0.423308271,Ultra2,Ultra2_Chemical_,Chemical: 1hr
10UC.3,0.359649123,0.345363409,0.353884712,0.352965748,Ultra2,Ultra2_Chemical_,Chemical: 1hr
10UV.1,0.542606516,0.556390977,0.553884712,0.550960735,Ultra2,Ultra2_Vortex_,Vortex: 15min
10UV.2,0.570927318,0.584711779,0.582205514,0.579281537,Ultra2,Ultra2_Vortex_,Vortex: 15min
10UV.3,0.576190476,0.589974937,0.587468672,0.584544695,Ultra2,Ultra2_Vortex_,Vortex: 15min