bray,ave,Description,Kit,Lysis
MC.10ml.UHT.1,,10ml,Total,Bead beat: 2min x 6.5m/s
MC.10ml.UHT.2,0.047117794,10ml,Total,Bead beat: 2min x 6.5m/s
MC.10ml.UHT.3,0.072681704,10ml,Total,Bead beat: 2min x 6.5m/s
MC.1ml.UHT.1,,1ml,Total,Bead beat: 2min x 6.5m/s
MC.1ml.UHT.2,0.253884712,1ml,Total,Bead beat: 2min x 6.5m/s
MC.1ml.UHT.3,0.086716792,1ml,Total,Bead beat: 2min x 6.5m/s
200TB.1,,200ul,Total,Bead beat: 2min x 6.5m/s
200TB.2,0.204511278,200ul,Total,Bead beat: 2min x 6.5m/s
200TB.3,0.172180451,200ul,Total,Bead beat: 2min x 6.5m/s
MC.30ml.UHT.1,,30ml,Total,Bead beat: 2min x 6.5m/s
MC.30ml.UHT.2,0.08922306,30ml,Total,Bead beat: 2min x 6.5m/s
MC.30ml.UHT.3,0.08646617,30ml,Total,Bead beat: 2min x 6.5m/s
MC.10ml.UHT.1,0.047117794,10ml,Total,Bead beat: 2min x 6.5m/s
MC.10ml.UHT.2,,10ml,Total,Bead beat: 2min x 6.5m/s
MC.10ml.UHT.3,0.053383459,10ml,Total,Bead beat: 2min x 6.5m/s
MC.1ml.UHT.1,0.253884712,1ml,Total,Bead beat: 2min x 6.5m/s
MC.1ml.UHT.2,,1ml,Total,Bead beat: 2min x 6.5m/s
MC.1ml.UHT.3,0.288220551,1ml,Total,Bead beat: 2min x 6.5m/s
200TB.1,0.204511278,200ul,Total,Bead beat: 2min x 6.5m/s
200TB.2,,200ul,Total,Bead beat: 2min x 6.5m/s
200TB.3,0.151879699,200ul,Total,Bead beat: 2min x 6.5m/s
MC.30ml.UHT.1,0.08922306,30ml,Total,Bead beat: 2min x 6.5m/s
MC.30ml.UHT.2,,30ml,Total,Bead beat: 2min x 6.5m/s
MC.30ml.UHT.3,0.06591479,30ml,Total,Bead beat: 2min x 6.5m/s
MC.10ml.UHT.1,0.072681704,10ml,Total,Bead beat: 2min x 6.5m/s
MC.10ml.UHT.2,0.053383459,10ml,Total,Bead beat: 2min x 6.5m/s
MC.10ml.UHT.3,,10ml,Total,Bead beat: 2min x 6.5m/s
MC.1ml.UHT.1,0.086716792,1ml,Total,Bead beat: 2min x 6.5m/s
MC.1ml.UHT.2,0.288220551,1ml,Total,Bead beat: 2min x 6.5m/s
MC.1ml.UHT.3,,1ml,Total,Bead beat: 2min x 6.5m/s
200TB.1,0.172180451,200ul,Total,Bead beat: 2min x 6.5m/s
200TB.2,0.151879699,200ul,Total,Bead beat: 2min x 6.5m/s
200TB.3,,200ul,Total,Bead beat: 2min x 6.5m/s
MC.30ml.UHT.1,0.08646617,30ml,Total,Bead beat: 2min x 6.5m/s
MC.30ml.UHT.2,0.06591479,30ml,Total,Bead beat: 2min x 6.5m/s
MC.30ml.UHT.3,,30ml,Total,Bead beat: 2min x 6.5m/s