ave,Method,Description,Definition,Lysis,Kit
0.392592593,Milk1,intra,same sample by different method ,NA,Total_ProteinaseK
0.489455185,Milk1,intra,same sample by different method ,NA,Total_ProteinaseK
0.142642643,Milk1,intra,same sample by different method ,NA,Total_ProteinaseK
0.560939794,Milk2,intra,same sample by different method ,NA,Total_ProteinaseK
0.418990704,Milk1,intra,same sample by different method ,NA,Total_ProteinaseK
0.242782152,Milk2,intra,same sample by different method ,NA,Total_ProteinaseK
0.135471517,Milk3,intra,same sample by different method ,NA,Total_ProteinaseK
0.368935428,Milk3,intra,same sample by different method ,NA,Total_ProteinaseK
0.418981481,Milk3,intra,same sample by different method ,NA,Total_ProteinaseK
0.600843659,B1,inter,different sample by same extraction,NA,Total_ProteinaseK
0.70362622,B1,inter,different sample by same extraction,NA,Total_ProteinaseK
0.519318528,B1,inter,different sample by same extraction,NA,Total_ProteinaseK
0.63997061,B5,inter,different sample by same extraction,NA,Total_ProteinaseK
0.792852816,B5,inter,different sample by same extraction,NA,Total_ProteinaseK
0.356487549,B5,inter,different sample by same extraction,NA,Total_ProteinaseK
0.757859532,V3,inter,different sample by same extraction,NA,Total_ProteinaseK
0.884733832,V3,inter,different sample by same extraction,NA,Total_ProteinaseK
0.390733591,V3,inter,different sample by same extraction,NA,Total_ProteinaseK