bray,Theo1,Theo2,Theo3,ave,Description,Kit,Lysis
10CB.1,0.289625206,0.290683899,0.287850518,0.289386541,10CB,Core,Bead beat: 2min x 6.5m/s
10CB.2,0.309465037,0.310471582,0.307673543,0.309203387,10CB,Core,Bead beat: 2min x 6.5m/s
10CB.3,0.282255719,0.283341905,0.28047414,0.282023921,10CB,Core,Bead beat: 2min x 6.5m/s
10CC.1,0.277044787,0.285033259,0.277685674,0.27992124,10CC,Core,Chemical: 1hr
10CC.2,0.294334127,0.302262869,0.294951449,0.297182815,10CC,Core,Chemical: 1hr
10CC.3,0.243541635,0.251473385,0.244213744,0.246409588,10CC,Core,Chemical: 1hr
10CV.1,0.317401084,0.318385563,0.315605318,0.317130655,10CV,Core,Vortex: 15min
10CV.2,0.29966592,0.300698908,0.297881434,0.299415421,10CV,Core,Vortex: 15min
10CV.3,0.286358331,0.287425117,0.284587307,0.286123585,10CV,Core,Vortex: 15min
10TB.1,0.269041055,0.277419287,0.259763356,0.268741233,10TB,Total,Bead beat: 2min x 6.5m/s
10TB.2,0.249896379,0.258109359,0.240491172,0.24949897,10TB,Total,Bead beat: 2min x 6.5m/s
10TB.3,0.256468311,0.264773572,0.247098002,0.256113295,10TB,Total,Bead beat: 2min x 6.5m/s
10TC.1,0.248967358,0.240191825,0.245563568,0.244907583,10TC,Total,Chemical: 1hr
10TC.2,0.242031744,0.233317899,0.238653854,0.238001166,10TC,Total,Chemical: 1hr
10TC.3,0.285820458,0.277169769,0.282455048,0.281815092,10TC,Total,Chemical: 1hr
10TV.1,0.277885251,0.279080853,0.276147467,0.277704524,10TV,Total,Vortex: 15min
10TV.2,0.250979811,0.252375355,0.249636602,0.250997256,10TV,Total,Vortex: 15min
10UB.2,0.345970525,0.346858113,0.344196609,0.345675082,10UB,Ultra2,Bead beat: 2min x 6.5m/s
10UB.3,0.3470475,0.347933823,0.345269821,0.346750381,10UB,Ultra2,Bead beat: 2min x 6.5m/s
10UC.1,0.222752805,0.228011572,0.223118517,0.224627632,10UC,Ultra2,Chemical: 1hr
10UC.2,0.244755017,0.246828394,0.243901026,0.245161479,10UC,Ultra2,Chemical: 1hr
10UC.3,0.214683,0.219931621,0.215056819,0.216557147,10UC,Ultra2,Chemical: 1hr
10UV.1,0.324554916,0.325537037,0.322722776,0.324271577,10UV,Ultra2,Vortex: 15min
10UV.2,0.330297802,0.331267597,0.328455385,0.330006928,10UV,Ultra2,Vortex: 15min
10UV.3,0.342752127,0.343677005,0.340923005,0.342450712,10UV,Ultra2,Vortex: 15min
M4R1,0.15314845,0.155825017,0.148883053,0.15261884,M4R,Total_phase3,Bead beat: 10s x 4m/s
M4R2,0.190364312,0.194764441,0.187826843,0.190985199,M4R,Total_phase3,Bead beat: 10s x 4m/s
M4R3,0.203042601,0.207439608,0.200506415,0.203662875,M4R,Total_phase3,Bead beat: 10s x 4m/s
M4W1,0.11915246,0.12418611,0.116238599,0.119859056,M4W,Total_phase3,Bead beat: 10s x 4m/s
M4W2,0.120446297,0.123044594,0.119233326,0.120908072,M4W,Total_phase3,Bead beat: 10s x 4m/s
M4W3,0.147213032,0.152194255,0.145124566,0.148177284,M4W,Total_phase3,Bead beat: 10s x 4m/s
ML4R1,0.15255141,0.156932235,0.150040804,0.153174816,ML4R,Total_phase3,Chemical + Bead beat: 1hr + 10s x 4m/s
ML4R2,0.115012259,0.119372371,0.112982196,0.115788942,ML4R,Total_phase3,Chemical + Bead beat: 1hr + 10s x 4m/s
ML4R3,0.091793027,0.093746147,0.090969482,0.092169552,ML4R,Total_phase3,Chemical + Bead beat: 1hr + 10s x 4m/s
ML4W1,0.140938094,0.145933617,0.139244731,0.142038814,ML4W,Total_phase3,Chemical + Bead beat: 1hr + 10s x 4m/s
ML4W2,0.093492929,0.096095321,0.092282442,0.093956897,ML4W,Total_phase3,Chemical + Bead beat: 1hr + 10s x 4m/s
ML4W3,0.118383838,0.120975212,0.117399785,0.118919611,ML4W,Total_phase3,Chemical + Bead beat: 1hr + 10s x 4m/s
MLVR1,0.258535557,0.24953744,0.259428436,0.255833811,MLVR,Total_phase3,Chemical + Vortex: 1hr + 30s 
MLVR2,0.260141595,0.251479706,0.259413156,0.257011486,MLVR,Total_phase3,Chemical + Vortex: 1hr + 30s 
MLVR3,0.232567067,0.224025417,0.231871737,0.229488074,MLVR,Total_phase3,Chemical + Vortex: 1hr + 30s 
MLVW1,0.240034956,0.231510936,0.239583841,0.237043244,MLVW,Total_phase3,Chemical + Vortex: 1hr + 30s 
MLVW2,0.235747861,0.22716786,0.23503916,0.232651627,MLVW,Total_phase3,Chemical + Vortex: 1hr + 30s 
MLVW3,0.177261881,0.169131176,0.176660229,0.174351095,MLVW,Total_phase3,Chemical + Vortex: 1hr + 30s 
MVR1,0.138427017,0.135267083,0.13523265,0.136308917,MVR,Total_phase3,Vortex: 30s
MVR2,0.100527994,0.095014652,0.095334042,0.096958896,MVR,Total_phase3,Vortex: 30s
MVR3,0.141403348,0.134821938,0.138136617,0.138120634,MVR,Total_phase3,Vortex: 30s
MVW1,0.207398687,0.198793652,0.206719214,0.204303851,MVW,Total_phase3,Vortex: 30s
MVW2,0.077748276,0.067937933,0.075183886,0.073623365,MVW,Total_phase3,Vortex: 30s
MVW3,0.149207096,0.140641676,0.148578537,0.146142436,MVW,Total_phase3,Vortex: 30s
P4R1,0.089493192,0.091038285,0.081453563,0.087328347,P4R,Total_ProteinaseK,Bead beat: 10s x 4m/s
P4R2,0.120766284,0.125827156,0.117836628,0.121476689,P4R,Total_ProteinaseK,Bead beat: 10s x 4m/s
P4R3,0.118800112,0.114334784,0.111467065,0.11486732,P4R,Total_ProteinaseK,Bead beat: 10s x 4m/s
P4W1,0.053812993,0.054395358,0.055656538,0.05462163,P4W,Total_ProteinaseK,Bead beat: 10s x 4m/s
P4W2,0.046805923,0.051896795,0.046472048,0.048391589,P4W,Total_ProteinaseK,Bead beat: 10s x 4m/s
P4W3,0.071549491,0.063963028,0.073810767,0.069774429,P4W,Total_ProteinaseK,Bead beat: 10s x 4m/s
PL4R1,0.066217949,0.058441595,0.068426994,0.064362179,PL4R,Total_ProteinaseK,Chemical + Bead beat: 1hr + 10s x 4m/s
PL4R2,0.101548201,0.104224073,0.097228204,0.101000159,PL4R,Total_ProteinaseK,Chemical + Bead beat: 1hr + 10s x 4m/s
PL4R3,0.079709412,0.071461777,0.081714478,0.077628556,PL4R,Total_ProteinaseK,Chemical + Bead beat: 1hr + 10s x 4m/s
PL4W1,0.067865937,0.059577622,0.070423393,0.065955651,PL4W,Total_ProteinaseK,Chemical + Bead beat: 1hr + 10s x 4m/s
PL4W2,0.058842843,0.05083663,0.059918507,0.05653266,PL4W,Total_ProteinaseK,Chemical + Bead beat: 1hr + 10s x 4m/s
PL4W3,0.101619585,0.094037995,0.103868506,0.099842029,PL4W,Total_ProteinaseK,Chemical + Bead beat: 1hr + 10s x 4m/s
PLVR1,0.144884082,0.140484059,0.151058794,0.145475645,PLVR,Total_ProteinaseK,Chemical + Vortex: 1hr + 30s 
PLVR2,0.173811159,0.165244223,0.173162373,0.170739252,PLVR,Total_ProteinaseK,Chemical + Vortex: 1hr + 30s 
PLVR3,0.155701499,0.147303676,0.155519821,0.152841665,PLVR,Total_ProteinaseK,Chemical + Vortex: 1hr + 30s 
PLVW1,0.156111967,0.147875588,0.156649127,0.153545561,PLVW,Total_ProteinaseK,Chemical + Vortex: 1hr + 30s 
PLVW2,0.187751626,0.179460369,0.188271482,0.185161159,PLVW,Total_ProteinaseK,Chemical + Vortex: 1hr + 30s 
PLVW3,0.171495425,0.16477284,0.175197506,0.170488591,PLVW,Total_ProteinaseK,Chemical + Vortex: 1hr + 30s 
PVR1,0.122822766,0.127865647,0.119903428,0.123530614,PVR,Total_ProteinaseK,Vortex: 30s
PVR2,0.098308607,0.103417081,0.095364596,0.099030095,PVR,Total_ProteinaseK,Vortex: 30s
PVR3,0.072249042,0.064234347,0.073318592,0.069933994,PVR,Total_ProteinaseK,Vortex: 30s
PVW1,0.074409704,0.077017459,0.073199903,0.074875689,PVW,Total_ProteinaseK,Vortex: 30s
PVW2,0.063584852,0.053257019,0.063249932,0.060030601,PVW,Total_ProteinaseK,Vortex: 30s
PVW3,0.065291578,0.054017578,0.062324261,0.060544473,PVW,Total_ProteinaseK,Vortex: 30s