"","MC.25.glycerol.1","MC.25.glycerol.2","MC.25.glycerol.3","MC.PBS.1","MC.PBS.2","MC.PBS.3","IONMM1","IONMM10","IONMM11","IONMM12","IONMM2","IONMM3","IONMM4","IONMM5","IONMM6","IONMM7","IONMM8","IONMM9","Theo1.1","Theo1.2","Theo1.3","Theo2.1","Theo2.2","Theo2.3"
"MC.25.glycerol.1",0,0.0181559002437848,0.0201789135429622,0.0164444484628154,0.0122521828382611,0.0181542382160137,0.103339342664821,0.107785987160749,0.119313963367603,0.10614004946478,0.128755394827116,0.112325546203932,0.104817494764066,0.106200728352999,0.098074615702937,0.105869048593374,0.103639938253822,0.102274278626663,0.193797331665876,0.205415439964565,0.20802705003645,0.182234624564907,0.187629032027699,0.188009024370782
"MC.25.glycerol.2",0.0181559002437848,0,0.0187999749142858,0.010545664097883,0.0152354644743983,0.0146671771312344,0.0923509724593421,0.0972783087632061,0.10909517784465,0.0949441569236723,0.119089662600932,0.10197522628518,0.089795532677083,0.0899605780619883,0.0833755773736002,0.0902605357796751,0.087961512994855,0.0865409008589124,0.189222129536942,0.200913972284998,0.203538634589712,0.174483760516248,0.179912262933594,0.180296625201141
"MC.25.glycerol.3",0.0201789135429622,0.0187999749142858,0,0.0238321508801679,0.012957817362205,0.0264770423932263,0.109668522466712,0.115283897788517,0.126999102446275,0.112065584967182,0.137124307152382,0.120043342893483,0.0886093664714984,0.0873218829274577,0.0916160697263516,0.0876429065808493,0.0853997502522626,0.0842729367808074,0.204693292989571,0.216348505140884,0.218977209429212,0.192136440174883,0.197538317026128,0.197916331509926
"MC.PBS.1",0.0164444484628154,0.010545664097883,0.0238321508801679,0,0.0170371962920082,0.0068954707948569,0.0933692630877623,0.0977554429022234,0.108901407557704,0.0964722267344413,0.115962702020705,0.102406430798779,0.098459298938803,0.100281172668438,0.0907267216431423,0.100303359678294,0.0981437253751584,0.0967513329821575,0.186525639071064,0.198214882117466,0.200836785337587,0.170984133955545,0.176412769305359,0.176798034535845
"MC.PBS.2",0.0122521828382611,0.0152354644743983,0.012957817362205,0.0170371962920082,0,0.0185476795304225,0.104801697288816,0.109152120139777,0.12039125675743,0.107354811539467,0.129995762530971,0.113803889887727,0.0962873408627355,0.0978757970343671,0.0901030818959361,0.0978926522917312,0.095755354532237,0.0943654000147748,0.197248984737326,0.208897551841505,0.211713547620778,0.186124352631633,0.191530405420597,0.191910230875645
"MC.PBS.3",0.0181542382160137,0.0146671771312344,0.0264770423932263,0.0068954707948569,0.0185476795304225,0,0.0909687541131603,0.0956772001368046,0.106809583384756,0.0955829750445718,0.113841565216769,0.0999991900942664,0.101371527638546,0.103381496951091,0.0938284348030259,0.103468842184105,0.101202085144403,0.0998186275591992,0.183859750246088,0.19553691538524,0.198153937513409,0.168341497783608,0.17376673771404,0.174152437742356
"IONMM1",0.103339342664821,0.0923509724593421,0.109668522466712,0.0933692630877623,0.104801697288816,0.0909687541131603,0,0.0106659854967003,0.022878561233424,0.0161835219257494,0.0311445215116918,0.0145750016489112,0.0459356467573439,0.0585946723615641,0.0414276909558827,0.0607212593873071,0.06427669177038,0.0525794626366467,0.173468953019237,0.18349551158593,0.181480167296504,0.128950614600761,0.12610824750382,0.131751356548844
"IONMM10",0.107785987160749,0.0972783087632061,0.115283897788517,0.0977554429022234,0.109152120139777,0.0956772001368046,0.0106659854967003,0,0.0131527699664306,0.0113106333594249,0.0253716189677312,0.0118508537123079,0.048554107751084,0.0631633637455167,0.0371512531902368,0.0563387075698001,0.0622267758420035,0.0498380161067141,0.180192400396435,0.190240082396589,0.188237650733209,0.13362281221621,0.13078690583194,0.13642582592652
"IONMM11",0.119313963367603,0.10909517784465,0.126999102446275,0.108901407557704,0.12039125675743,0.106809583384756,0.022878561233424,0.0131527699664306,0,0.0215385092572029,0.0252605318591945,0.0159189724663775,0.0564846068058531,0.0723933072350088,0.0456080619079495,0.0628093587040078,0.074305528685811,0.0618405088645039,0.185300814028086,0.19539804362806,0.193398823339528,0.133370266461508,0.130526082171073,0.136180991553702
"IONMM12",0.10614004946478,0.0949441569236723,0.112065584967182,0.0964722267344413,0.107354811539467,0.0955829750445718,0.0161835219257494,0.0113106333594249,0.0215385092572029,0,0.0346889383839422,0.0218058091461881,0.0453597514334493,0.0560994877588419,0.0336859503052198,0.0518121252073596,0.0568677431976634,0.0461244600218557,0.185483421936664,0.195520302529296,0.193533408910812,0.144386712064986,0.141570718202668,0.147189916437928
"IONMM2",0.128755394827116,0.119089662600932,0.137124307152382,0.115962702020705,0.129995762530971,0.113841565216769,0.0311445215116918,0.0253716189677312,0.0252605318591945,0.0346889383839422,0,0.0181917224055892,0.0682017349994101,0.0834124176366439,0.0562410819629045,0.0788932782818145,0.0832475804259911,0.0723280782606839,0.1687006975343,0.178783244306801,0.176744477964669,0.112809172075312,0.108485662170325,0.114173819643419
"IONMM3",0.112325546203932,0.10197522628518,0.120043342893483,0.102406430798779,0.113803889887727,0.0999991900942664,0.0145750016489112,0.0118508537123079,0.0159189724663775,0.0218058091461881,0.0181917224055892,0,0.0539343720027961,0.0683297329804484,0.0472324896033093,0.0630332801771196,0.065883447832165,0.0558291229705246,0.176172160280675,0.186234421882679,0.184218859002375,0.124467927557217,0.121614038880302,0.127271708877728
"IONMM4",0.104817494764066,0.089795532677083,0.0886093664714984,0.098459298938803,0.0962873408627355,0.101371527638546,0.0459356467573439,0.048554107751084,0.0564846068058531,0.0453597514334493,0.0682017349994101,0.0539343720027961,0,0.0205774411655292,0.0227429140801857,0.0296362964107233,0.0340730232510802,0.0244823660106439,0.196730577872153,0.206824348114093,0.204854729759085,0.169876542334651,0.167083463691061,0.172704228312662
"IONMM5",0.106200728352999,0.0899605780619883,0.0873218829274577,0.100281172668438,0.0978757970343671,0.103381496951091,0.0585946723615641,0.0631633637455167,0.0723933072350088,0.0560994877588419,0.0834124176366439,0.0683297329804484,0.0205774411655292,0,0.0324103657888375,0.0242829901316973,0.01813225545951,0.0238193557244532,0.195818715868602,0.208138806345952,0.210520194755033,0.1816026017558,0.179233121238903,0.184421894109695
"IONMM6",0.098074615702937,0.0833755773736002,0.0916160697263516,0.0907267216431423,0.0901030818959361,0.0938284348030259,0.0414276909558827,0.0371512531902368,0.0456080619079495,0.0336859503052198,0.0562410819629045,0.0472324896033093,0.0227429140801857,0.0324103657888375,0,0.0302484221484506,0.0345954496274638,0.0232333338822576,0.192049559104432,0.202059132211187,0.204021247788654,0.162984883269021,0.16020259758617,0.165788821979885
"IONMM7",0.105869048593374,0.0902605357796751,0.0876429065808493,0.100303359678294,0.0978926522917312,0.103468842184105,0.0607212593873071,0.0563387075698001,0.0628093587040078,0.0518121252073596,0.0788932782818145,0.0630332801771196,0.0296362964107233,0.0242829901316973,0.0302484221484506,0,0.0147778518550547,0.0124242278748888,0.20927026955076,0.22029498189355,0.22233766511831,0.178581332852645,0.175834997631061,0.181377783847435
"IONMM8",0.103639938253822,0.087961512994855,0.0853997502522626,0.0981437253751584,0.095755354532237,0.101202085144403,0.06427669177038,0.0622267758420035,0.074305528685811,0.0568677431976634,0.0832475804259911,0.065883447832165,0.0340730232510802,0.01813225545951,0.0345954496274638,0.0147778518550547,0,0.0124523338743068,0.211731169255254,0.223223611968817,0.225919561059546,0.1806926444641,0.180277599869857,0.183944626041666
"IONMM9",0.102274278626663,0.0865409008589124,0.0842729367808074,0.0967513329821575,0.0943654000147748,0.0998186275591992,0.0525794626366467,0.0498380161067141,0.0618405088645039,0.0461244600218557,0.0723280782606839,0.0558291229705246,0.0244823660106439,0.0238193557244532,0.0232333338822576,0.0124242278748888,0.0124523338743068,0,0.20850086567719,0.218496220777403,0.219448936606602,0.171786614164317,0.171361309084921,0.175041125666656
"Theo1.1",0.193797331665876,0.189222129536942,0.204693292989571,0.186525639071064,0.197248984737326,0.183859750246088,0.173468953019237,0.180192400396435,0.185300814028086,0.185483421936664,0.1687006975343,0.176172160280675,0.196730577872153,0.195818715868602,0.192049559104432,0.20927026955076,0.211731169255254,0.20850086567719,0,0.0139122561605221,0.0162609705657214,0.102960300533803,0.104216731961639,0.102942350204005
"Theo1.2",0.205415439964565,0.200913972284998,0.216348505140884,0.198214882117466,0.208897551841505,0.19553691538524,0.18349551158593,0.190240082396589,0.19539804362806,0.195520302529296,0.178783244306801,0.186234421882679,0.206824348114093,0.208138806345952,0.202059132211187,0.22029498189355,0.223223611968817,0.218496220777403,0.0139122561605221,0,0.00661284315704161,0.111529360891954,0.112800248096692,0.110080822028698
"Theo1.3",0.20802705003645,0.203538634589712,0.218977209429212,0.200836785337587,0.211713547620778,0.198153937513409,0.181480167296504,0.188237650733209,0.193398823339528,0.193533408910812,0.176744477964669,0.184218859002375,0.204854729759085,0.210520194755033,0.204021247788654,0.22233766511831,0.225919561059546,0.219448936606602,0.0162609705657214,0.00661284315704161,0,0.107478980844814,0.108747769980447,0.106024287437124
"Theo2.1",0.182234624564907,0.174483760516248,0.192136440174883,0.170984133955545,0.186124352631633,0.168341497783608,0.128950614600761,0.13362281221621,0.133370266461508,0.144386712064986,0.112809172075312,0.124467927557217,0.169876542334651,0.1816026017558,0.162984883269021,0.178581332852645,0.1806926444641,0.171786614164317,0.102960300533803,0.111529360891954,0.107478980844814,0,0.00972009411122263,0.00832885527757135
"Theo2.2",0.187629032027699,0.179912262933594,0.197538317026128,0.176412769305359,0.191530405420597,0.17376673771404,0.12610824750382,0.13078690583194,0.130526082171073,0.141570718202668,0.108485662170325,0.121614038880302,0.167083463691061,0.179233121238903,0.16020259758617,0.175834997631061,0.180277599869857,0.171361309084921,0.104216731961639,0.112800248096692,0.108747769980447,0.00972009411122263,0,0.00700158959553463
"Theo2.3",0.188009024370782,0.180296625201141,0.197916331509926,0.176798034535845,0.191910230875645,0.174152437742356,0.131751356548844,0.13642582592652,0.136180991553702,0.147189916437928,0.114173819643419,0.127271708877728,0.172704228312662,0.184421894109695,0.165788821979885,0.181377783847435,0.183944626041666,0.175041125666656,0.102942350204005,0.110080822028698,0.106024287437124,0.00832885527757135,0.00700158959553463,0
